date,weekday,cycle_letter
2025-11-18,Tuesday,H
2025-11-19,Wednesday,A
2025-11-20,Thursday,B
2025-11-21,Friday,C
2025-11-22,Saturday,0
2025-11-23,Sunday,0
2025-11-24,Monday,D
2025-11-25,Tuesday,E
2025-11-26,Wednesday,F
2025-11-27,Thursday,G
2025-11-28,Friday,H
2025-11-29,Saturday,0
2025-11-30,Sunday,0
2025-12-01,Monday,A
2025-12-02,Tuesday,B
2025-12-03,Wednesday,C
2025-12-04,Thursday,D
2025-12-05,Friday,E
2025-12-06,Saturday,0
2025-12-07,Sunday,0
2025-12-08,Monday,F
2025-12-09,Tuesday,G
2025-12-10,Wednesday,H
2025-12-11,Thursday,A
2025-12-12,Friday,B
2025-12-13,Saturday,0
2025-12-14,Sunday,0
2025-12-15,Monday,C
2025-12-16,Tuesday,D
2025-12-17,Wednesday,E
2025-12-18,Thursday,F
2025-12-19,Friday,G
2025-12-20,Saturday,0
2025-12-21,Sunday,0
2025-12-22,Monday,H
2025-12-23,Tuesday,A
2025-12-24,Wednesday,B
2025-12-25,Thursday,C
2025-12-26,Friday,D
2025-12-27,Saturday,0
2025-12-28,Sunday,0
2025-12-29,Monday,E
2025-12-30,Tuesday,F
2025-12-31,Wednesday,G
2026-01-01,Thursday,H
2026-01-02,Friday,A
2026-01-03,Saturday,0
2026-01-04,Sunday,0
2026-01-05,Monday,B
2026-01-06,Tuesday,C
2026-01-07,Wednesday,D
2026-01-08,Thursday,E
2026-01-09,Friday,F
2026-01-10,Saturday,0
2026-01-11,Sunday,0
2026-01-12,Monday,G
2026-01-13,Tuesday,H
2026-01-14,Wednesday,A
2026-01-15,Thursday,B
2026-01-16,Friday,C
2026-01-17,Saturday,0
2026-01-18,Sunday,0
2026-01-19,Monday,D
2026-01-20,Tuesday,E
2026-01-21,Wednesday,F
2026-01-22,Thursday,G
2026-01-23,Friday,H
2026-01-24,Saturday,0
2026-01-25,Sunday,0
2026-01-26,Monday,A
2026-01-27,Tuesday,B
2026-01-28,Wednesday,C
2026-01-29,Thursday,D
2026-01-30,Friday,E
2026-01-31,Saturday,0
2026-02-01,Sunday,0
2026-02-02,Monday,F
2026-02-03,Tuesday,G
2026-02-04,Wednesday,H
2026-02-05,Thursday,A
2026-02-06,Friday,B
2026-02-07,Saturday,0
2026-02-08,Sunday,0
2026-02-09,Monday,C
2026-02-10,Tuesday,D
2026-02-11,Wednesday,E
2026-02-12,Thursday,F
2026-02-13,Friday,G
2026-02-14,Saturday,0
2026-02-15,Sunday,0
2026-02-16,Monday,H
2026-02-17,Tuesday,A
2026-02-18,Wednesday,B
2026-02-19,Thursday,C
2026-02-20,Friday,D
2026-02-21,Saturday,0
2026-02-22,Sunday,0
2026-02-23,Monday,E
2026-02-24,Tuesday,F
2026-02-25,Wednesday,G
2026-02-26,Thursday,H
2026-02-27,Friday,A
2026-02-28,Saturday,0
2026-03-01,Sunday,0
2026-03-02,Monday,B
2026-03-03,Tuesday,C
2026-03-04,Wednesday,D
2026-03-05,Thursday,E
2026-03-06,Friday,F
2026-03-07,Saturday,0
2026-03-08,Sunday,0
2026-03-09,Monday,G
2026-03-10,Tuesday,H
2026-03-11,Wednesday,A
2026-03-12,Thursday,B
2026-03-13,Friday,C
2026-03-14,Saturday,0
2026-03-15,Sunday,0
2026-03-16,Monday,D
2026-03-17,Tuesday,E
2026-03-18,Wednesday,F
2026-03-19,Thursday,G
2026-03-20,Friday,H
2026-03-21,Saturday,0
2026-03-22,Sunday,0
2026-03-23,Monday,A
2026-03-24,Tuesday,B
2026-03-25,Wednesday,C
2026-03-26,Thursday,D
2026-03-27,Friday,E
2026-03-28,Saturday,0
2026-03-29,Sunday,0
2026-03-30,Monday,F
2026-03-31,Tuesday,G
2026-04-01,Wednesday,H
2026-04-02,Thursday,A
2026-04-03,Friday,B
2026-04-04,Saturday,0
2026-04-05,Sunday,0
2026-04-06,Monday,C
2026-04-07,Tuesday,D
2026-04-08,Wednesday,E
2026-04-09,Thursday,F
2026-04-10,Friday,G
2026-04-11,Saturday,0
2026-04-12,Sunday,0
2026-04-13,Monday,H
2026-04-14,Tuesday,A
2026-04-15,Wednesday,B
2026-04-16,Thursday,C
2026-04-17,Friday,D
2026-04-18,Saturday,0
2026-04-19,Sunday,0
2026-04-20,Monday,E
2026-04-21,Tuesday,F
2026-04-22,Wednesday,G
2026-04-23,Thursday,H
2026-04-24,Friday,A
2026-04-25,Saturday,0
2026-04-26,Sunday,0
2026-04-27,Monday,B
2026-04-28,Tuesday,C
2026-04-29,Wednesday,D
2026-04-30,Thursday,E
2026-05-01,Friday,F
2026-05-02,Saturday,0
2026-05-03,Sunday,0
2026-05-04,Monday,G
2026-05-05,Tuesday,H
2026-05-06,Wednesday,A
2026-05-07,Thursday,B
2026-05-08,Friday,C
2026-05-09,Saturday,0
2026-05-10,Sunday,0
2026-05-11,Monday,D
2026-05-12,Tuesday,E
2026-05-13,Wednesday,F
2026-05-14,Thursday,G
2026-05-15,Friday,H
2026-05-16,Saturday,0
2026-05-17,Sunday,0
2026-05-18,Monday,A
2026-05-19,Tuesday,B
2026-05-20,Wednesday,C
2026-05-21,Thursday,D
2026-05-22,Friday,E
2026-05-23,Saturday,0
2026-05-24,Sunday,0
2026-05-25,Monday,F
2026-05-26,Tuesday,G
2026-05-27,Wednesday,H
2026-05-28,Thursday,A
2026-05-29,Friday,B
2026-05-30,Saturday,0
2026-05-31,Sunday,0
2026-06-01,Monday,C
2026-06-02,Tuesday,D
2026-06-03,Wednesday,E
2026-06-04,Thursday,F
2026-06-05,Friday,G
2026-06-06,Saturday,0
2026-06-07,Sunday,0
2026-06-08,Monday,H
2026-06-09,Tuesday,A
2026-06-10,Wednesday,B
2026-06-11,Thursday,C
2026-06-12,Friday,D
2026-06-13,Saturday,0
2026-06-14,Sunday,0
2026-06-15,Monday,E
